curiosity,filled,pos-1_IN,pos-2_NN,pos-2_VBN,pos1_JJ,pos2_NN,simple curiosity,with,with simple
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,1.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,1,0.0,0.0,0.0
0.0,0.0,0,0,0,0,1,0.0,0.0,0.0
0.0,0.0,0,0,0,1,1,0.0,0.0,0.0
0.0,0.0,1,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,1,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,1,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,1,1,0.0,0.0,0.0
1.0,1.0,1,0,1,0,0,1.0,1.0,1.0
0.0,0.0,0,1,0,0,0,0.0,0.0,0.0
0.0,0.0,1,1,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,0,0,0,0,1,0.0,0.0,0.0
0.0,0.0,0,0,0,0,1,0.0,0.0,0.0
0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
0.0,0.0,1,0,0,1,1,0.0,0.0,0.0
