Announce,any,be heard,hear any,more,pos-2_TO,pos-2_VB,pos2_JJR,pos2_VB,want
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,1.0,0.0,1.0,1.0,0,1,1,0,1.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0
1.0,0.0,1.0,0.0,0.0,1,0,0,1,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
