be,mean to,meant to,pos1_TO,pos2_JJR,pos2_VB,so,something,to,which mean
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1,0,1,0.0,0.0,1.0,0.0
0.0,0.0,1.0,1,0,1,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,1,0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1,0,1,0.0,0.0,1.0,0.0
1.0,0.0,1.0,1,0,1,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1,0,1,0.0,0.0,1.0,0.0
1.0,0.0,1.0,1,0,1,0.0,0.0,1.0,0.0
1.0,0.0,1.0,1,0,1,0.0,0.0,1.0,0.0
0.0,0.0,1.0,1,0,1,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1,0,1,0.0,0.0,1.0,0.0
1.0,1.0,0.0,1,0,1,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
