Angolans,Neto,pos-2_NNPS,pos1_.,pos2_POS,win .,win his,win me,withal,won Siegfried
1.0,1.0,1,1,0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,1,0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,1,0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0,1,0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0,1,0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,1,0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,1,0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,1,0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
