between,difference between,difference to,goal,goal difference,made,pos-1_NN,pos-1_PRP$,pos1_TO,to
0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,1.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,1.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0,0,1,1.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0,0,1,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
