be,chapters,more,more remains,pos1_TO,pos2_VB,remaining chapters,remains to,that remains,the remaining
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,1,1,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
