many,plays,pos-1_VBG,pos1_TO,that,well,well written,written about,written for,written that
0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0,0,1.0,1.0,1.0,0.0,0.0,1.0
