Naipaul treats,almost,arts,pos-2_WDT,pos1_TO,pos2_TO,treated almost,treated to,treats in,will
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0,0,0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1,0,0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
