His,best,best judgment,judgment or,or,order,pos-1_JJS,pos-2_PRP$,pos2_PRP$,your
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,1,1,1,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
